id,busNumber,description,stops
1,1,Car Street to Kunjathbail,Car Street;Mannagudda;Ladyhill;Chilimbi;Urwa Store;Kavoor;MCF colony;Kunjathbail
2,1A,State Bank to Tannirbhavi Beach,State Bank;Lalbagh;Urwa Store;Kuloor;Tannirbhavi Beach
3,1B,State Bank to Kodikal,State Bank;Car Street;Mannagudda;Ladyhill;Chilimbi;Urwa Store;Kodikal
4,1C,State Bank to Kodikal,State Bank;Hampankatta;Shedigudde;Lalbagh;Ladyhill;Kodikal Cross;Kodikal
5,2,State Bank to Mukka,State Bank;Lalbagh;Ashoknagar;Baikampady;Surathkal;Mukka
6,2A,State Bank to Sasihitlu,State Bank;Lalbagh;Ashoknagar;Baikampady;Surathkal;Mukka;Sasihitlu
7,2B,Bengare to Bajpe,Bengare;Tannirbhavi Beach;Kuloor;Panambur;Jokatte;Kaana;Port Temple;Bajpe
8,2C,State Bank to Jokatte,State Bank;Lalbagh;Ashoknagar;Baikampady;Baikampady Industrial Estate;Jokatte
9,2D,State Bank to Parkodi,State Bank;Lalbagh;Ashoknagar;Baikampady;Baikampady Industrial Estate;Jokatte;Parkodi
11,2E,Kankanady to Bajpe,Kankanady;Jyothi;Lalbagh;Ashoknagar;Baikampady;Baikampady Industrial Estate;Jokatte;Kalavar;Bajpe
12,2E,Kankanady to Bajpe,Kankanady;Jyothi;Lalbagh;Ashoknagar;Baikampady;Baikampady Industrial Estate;Jokatte;Kalavar;Bajpe
13,2F,Kankanady to Bajpe,Kankanady;Jyothi;Lalbagh;Ashoknagar;Baikampady;Baikampady Industrial Estate;Jokatte;Kalavar;Bajpe
14,2G,Surathkal to Bajpe,Surathkal;Jokatte;Baikampady;Kodikere;Bajpe
15,3A,State Bank to Moodushedde,State Bank;Jyothi;Bendoorwell;Mallikatte;Kadri;Bikkarnakatta;Kulshekar;Kudupu;Vamanjoor;Moodushedde
17,3B,Mangaldevi to Moodushedde,Mangaldevi;Kankanady;Mallikatte;Kadri;Bikkarnakatta;Kulshekar;Kudupu;Vamanjoor;Moodushedde
19,3C,Mangaldevi to Moodushedde,Mangaldevi;Valencia;Nanthoor;Kudpu Temple;Mangala Jyothi;Moodushedde
20,3D,State Bank to Ulaibettu,State Bank;Jyothi;Bunts Hostel;Kadri;Vamanjoor;Ulaibettu
21,3E,Pilikula to Katipalla,Pilikula;Bondel;Kavoor;Katipalla
22,3E,Moodushedde to Kaikamba,Moodushedde;Kuloor;Kavoor;Pachanady;Kaikamba
23,3F,Kottara to Kombel,Kottara;Mallikatte;Kadri;Bejai;Kapikad;Kombel
24,3G,Kottara to Ulaibettu,Kottara;KPT;Kuntikana;Ulaibettu
25,3H,Moodushedde to Chelairpadavu,Moodushedde;Vamanjoor;Kavoor;Surathkal;Chelairpadavu
26,3K,Talapady to Moodushedde,Talapady;Thokottu;Kankanady;Vamanjoor;Moodushedde
27,3L,Kottara to Moodushedde,Kottara;Moodushedde
28,4,State Bank to Kulshekar Chowki,State Bank;Falnir;Kankanady;Bendoorwell;Mallikatte;Kadri;Bikkarnakatta;Kulshekar;Kulshekar Chowki
