id,busNumber,description,stops
1,1,Car Street to Kunjathbail,Car Street;Mannagudda;Ladyhill;Chilimbi;Urwa Store;Kavoor;MCF colony;Kunjathbail
2,1A,State Bank to Tannirbhavi Beach,State Bank;Lalbagh;Urwa Store;Kuloor;Tannirbhavi Beach
3,1B,State Bank to Kodikal,State Bank;Car Street;Mannagudda;Ladyhill;Chilimbi;Urwa Store;Kodikal
4,1C,State Bank to Kodikal,State Bank;Hampankatta;Shedigudde;Lalbagh;Ladyhill;Kodikal Cross;Kodikal
5,2,State Bank to Mukka,State Bank;Lalbagh;Ashoknagar;Baikampady;Surathkal;Mukka
6,2A,State Bank to Sasihitlu,State Bank;Lalbagh;Ashoknagar;Baikampady;Surathkal;Mukka;Sasihitlu
7,2B,Bengare to Bajpe,Bengare;Tannirbhavi Beach;Kuloor;Panambur;Jokatta;Kaana;Port Temple;Bajpe
8,2C,State Bank to Jokatte,State Bank;Lalbagh;Ashoknagar;Baikampady;Baikampady Industrial Estate;Jokatte
9,2D,State Bank to Parkodi,State Bank;Lalbagh;Ashoknagar;Baikampady;Baikampady Industrial Estate;Jokatte;Parkodi
11,2E,Kankanady to Bajpe,Kankanady;Jyothi;Lalbagh;Ashoknagar;Baikampady;Baikampady Industrial Estate;Jokatte;Kalavar;Bajpe
12,2E,Kankanady to Jokatte,Kankanady;Jyothi;Lalbagh;Ashoknagar;Baikampady;Baikampady Industrial Estate;Jokatte;Kalavar;Bajpe
13,2F,Kankanady to Bajpe,Kankanady;Jyothi;Lalbagh;Ashoknagar;Baikampady;Baikampady Industrial Estate;Jokatte;Kalavar;Bajpe
14,2G,Surathkal to Bajpe,Surathkal;Jokatte;Baikampady;Kodikere;Bajpe
15,3A,State Bank to Moodushedde,State Bank;Jyothi;Bendoorwell;Mallikatte;Kadri;Bikkarnakatta;Kulshekar;Kudupu;Vamanjoor;Moodushedde
17,3B,Mangaladevi to Moodushedde,Mangaladevi;Kankanady;Mallikatte;Kadri;Bikkarnakatta;Kulshekar;Kudupu;Vamanjoor;Moodushedde
19,3C,Mangaladevi to Moodushedde,Mangaladevi;Valencia;Nanthoor;Kudpu Temple;Mangala Jyoti;Moodushedde
20,3D,State Bank to Ulaibettu,State Bank;Jyothi;Bunts Hostel;Kadri;Vamanjoor;Ulaibettu
21,3E,Pilikula to Katipalla,Pilikula;Bondel;Kavoor;Katipalla
22,3E,Moodushedde to Kaikamba,Moodushedde;Kulur;Kavoor;Pachhanady;Kaikamba
23,3F,Kottara to Kombel,Kottara;Mallikatte;Kadri;Bejai;Kapikad;Kombel
24,3G,Kottara to Ulaibettu,Kottara;KPT;Kuntikana;Ulaibettu
25,3H,Moodushedde to Chelyarpadavu,Moodushedde;Vamanjuru;Kavoor;Surathkal;Chelyarpadavu
26,3K,Talapady to Moodushedde,Talapady;Thokottu;Kankanady;Vamanjuru;Moodushedde
27,3L,Kottara to Moodushedde,Kottara;Moodushedde
28,4,State Bank to Kulshekar Chowki,State Bank;Falnir;Kankanady;Bendoorwell;Mallikatte;Kadri;Bikkarnakatta;Kulshekar;Kulshekar Chowki
29,4A,State Bank to Merlapadavu,State Bank;Falnir;Kankanady;Bendoorwell;Mallikatte;Kadri;Nanthoor;Kulshekar;Kaikamba;Neermarga;Merlapadavu
30,4B,State Bank to Saripalla,State Bank;Falneer;Bendoorwell;ESI;Shivabagh;Nanthoor;Pedamale;Saripalla
31,4C,State Bank to Neermarga,State Bank;Falnir;Kankanady;Bendoorwell;Mallikatte;Kadri;Nanthoor;Kulshekar;Kaikamba;Neermarga
32,4D,Mangaldevi to Kannagudde,Mangaldevi;Morgans Gate;Kankanady;Nanthoor;Kaikamba;Saripalla;Kannagudde
33,4E,Mangaldevi to Merlapadav,Mangaldevi;Morgans Gate;Kankanady;Jyoti;Mallikatte;Nanthoor;Chowki;Nirmarga;Kullikola;Adyar Padav;Merlapadav
34,5,State Bank to Morgans Gate,State Bank;Jyothi;Bendoorwell;Kankanady;Nandi Gudda;Marnamikatta;Morgans Gate
35,6A,State Bank to Shaktinagar,State Bank;Jyothi;Bendoorwell;Mallikatte;Kadri;Bikkarnakatta;Kulshekar;Shaktinagar
36,6B,State Bank to Shaktinagar,State Bank;Falnir;Kankanady;Bendoorwell;Mallikatte;Kadri;Bikkarnakatta;Kulshekar;Shaktinagar
37,6C,State Bank to Shaktinagar,State Bank;Jyothi;Bunts Hostel;Mallikatte;Kadri;Bikkarnakatta;Kulshekar;Shaktinagar
38,6D,Mangaldevi to Shaktinagar,Mangaldevi;Nandigudde;Kankanady;Nanthoor;Muthappagudi;Shaktinagar
39,6F,Morgans Gate to Preetinagar,Morgans Gate;Kankanady;Nanthoor;Preetinagar
40,7,State Bank to Urwa Store,State Bank;Car Street;Alake;Mannagudda;Ladyhill;Chilimbi;Urwa Store
41,9,State Bank to Bajal Church,State Bank;Balmatta;Jyothi;Kankanady;Pumpwell;Nagori;Padil;Karmar;Bajal;Jalligudde Cross;Bajal Church
42,9A,State Bank to J.M. Road,State Bank;Pandeshwar;Jeppu;Morgans Gate;Jeppupatna;Ekkur;Mugeru;Bajal;Jalligudde Cross;Bajal Pakkaladka;J.M. Road
43,9A,Clock Tower to Bajal Church,State Bank;Pandeshwar;Jeppu;Morgan Gate;Jeppupatna;Ekkur;Mugeru;Bajal;Bajal Pakkaladka;J.M. Road
44,9B,State Bank to J.M. Road,State Bank;Jyothi;Pumpwell;Ekkur;Mugeru;Bajal;Jalligudde Cross;Bajal Pakkaladka;J.M. Road
45,9C,JM Road to Kunjathbail,JM Road;Jeppinamogaru;Lady Hill;Kavoor;Kunjathbail
46,10A,State Bank to Adyar,State Bank;Balmatta;Jyothi;Kankanady;Pumpwell;Nagori;Padil;Kannurbettu;Adyar
47,10B,State Bank to Adyar,State Bank;Jyothi;Balmatta;Kankanady;Pumpwell;Nagori;Padil;Kannurbettu;Adyar
48,11A,State Bank to Kannurbettu,State Bank;Falnir;Kankanady;Nagori;Garodi;Padil;Kannurbettu
49,11B,State Bank to Jalligudde,State Bank;Falnir;Kankanady;Nagori;Garodi;Padil;Jalligudde
50,11C,Mangaladevi to Jalligudde,Mangaladevi;Morgans Gate;Nandi Gudda;Kankanady;Nagori;Garodi;Padil;Bajal;Jalligudde Cross;Jalligudde
51,11D,Kottara to Pallakere,Kottara;Bejai;KSRTC;Pallakere
52,12A,State Bank to Polali,State Bank;Jyothi;Bunts Hostel;Mallikatte;Kadri;Bikkarnakatta;Kulshekar;Kudupu;Vamanjoor;Gurupura;Kaikamba;Addoor;Polali
53,12B,State Bank to Kolthamajal,State Bank;Jyothi;Bunts Hostel;Mallikatte;Kadri;Bikkarnakatta;Kulshekar;Kudupu;Vamanjoor;Gurupura;Kaikamba;Addoor;Polali;Kolthamajal
54,13,State Bank to Urwa Store,State Bank;Car Street;Mannagudda;Ladyhill;Chilimbi;Urwa Store
55,13A,State Bank to Kottara,State Bank;Car Street;Mannagudda;Ladyhill;Chilimbi;Urwa Store;Kottara
56,13A,Kunjathbail to Chelyarpadavu,State Bank;Car Street;Mannagudda;Ladyhill;Chilimbi;Urwa Stores;Kottara
57,13A,Kunjathbail to Katipalla,State Bank;Car Street;Mannagudda;Ladyhill;Chilimbi;Urwa Stores;Kottara
59,13B,State Bank to Kunjathbail,State Bank;Shedigudde;Lady Hill;Kulur;Panjimogaru;Kavoor;Markada;Kunjathbail
60,13C,State Bank to Bondel,State Bank;K.S. Rao Road;Lalbagh;Ladyhill;Kuloor;Kudremukh Housing Colony;Hudco Colony;Govt. Womens polytechnic;Govt. Quarters;Kavoor;Bondel
61,13D,State Bank to Beggari Colony,State Bank;K.S. Rao Road;Lalbagh;Ladyhill;Kuloor;Kudremukh Housing Colony;Hudco Colony;Govt. Womens polytechnic;Govt. Quarters;Kavoor;Bondel;Padangady;Pacchanady;Beggari Colony
62,13E,Mangaladevi to Bondel,Mangaladevi;Bendoorwell;Jyothi;Lalbagh;Ladyhill;Kuloor;Kudremukh Housing Colony;Hudco Colony;Govt. Womens polytechnic;Govt. Quarters;Kavoor;Bondel
63,13F,Mangaldevi to Kunjathbail,Mangaldevi;Kankanady;Jyoti;Kulur;Kunjathbail
64,13G,Mangaldevi to Kunjathbail,Mangaldevi;Kankanady;KPT;Lalbagh;Kunjathbail
65,13G,Kunjathbail to Chelyarpadavu,Kunjathbail;Kavoor;Kulur;Chelyarpadavu
67,13G,Kunjathbail to Surathkal,Kunjathbail;Baikampady;Kodikere;Surathkal
68,13H,Mangaldevi to Bondel,Mangaldevi;Nandigudde;Valencia;Nanthoor;KPT;Bejai Church;Lalbagh;Lady Hill;Kodikal Cross;Kulur;Kavoor;Bondel
70,13J,Kunjathbail to Katipalla,Kunjathbail;Kavoor;Kulur;Baikampady;Surathkal;Katipalla
71,13K,Kunjathbail to Khadgeshwari,Kunjathbail;Kavoor;Kulur;Baikampady;Surathkal;Khadgeshwari
72,13L,Devinagara to Kulshekar Kaikamba,Devinagara;Kulshekar Kaikamba
73,14,State Bank to Bondel,State Bank;Falneer;Kankanady;Bendoor;KPT;Padavinangadi;Bondel
74,14A,State Bank to Bondel,State Bank;Jyothi;Bendoorwell;Mallikatte;Kadri;Nanthoor;Akashavani;KPT;Yeyyadi;Konchadi;Padangady;Bondel
75,14B,State Bank to Bondel,State Bank;Falnir;Bendoorwell;Mallikatte;Kadri;Nanthoor;Akashavani;KPT;Yeyyadi;Konchadi;Padangady;Bondel
76,14C,Mangaladevi to Bondel,Mangaladevi;Morgans Gate;Attavar;Yemmekere;Nandi Gudda;Kankanady;Mallikatte;Kadri;Nanthoor;Akashavani;KPT;Yeyyadi;Konchadi;Padangady;Bondel
77,14D,Jeppu Market to Bondel,Jeppu Market;Kankanady;Nanthoor;Bondel
78,14E,Pumpwell to Vamanjuru,Pumpwell;KPT;Pachhanady;Vamanjuru
79,14F,Kunjathbail to Tharaithota,Kunjathbail;Nanthoor;Tharaithota
80,15,Mangaladevi to Surathkal,Mangaladevi;Morgans Gate;Nandi Gudda;Kankanady;Mallikatte;Kadri;Market;Nanthoor;Akashavani;Bejai;KSRTC Bus Stand;Bharat Mall;Lalbagh;Ladyhill;Kuloor;Baikampady;Surathkal
82,15A,Mangaladevi to Katipalla,Mangaladevi;Morgans Gate;Nandi Gudda;Kankanady;Mallikatte;Kadri;Market;Nanthoor;Akashavani;Bejai;KSRTC Bus Stand;Bharat Mall;Lalbagh;Ladyhill;Kuloor;Baikampady;Surathkal;Krishnapur;Katipalla
84,15A,Mangaldevi to Madhya Padavu,Mangaladevi;Morgan Gate;Nandigudda;Kankanady;Mallikatte;Kadri Market– Nanthur;Akashavani;Bejai;KSRTC Bus Stand;Bharat Mall;Lalbagh;Ladyhill;Kuloor;Baikampady;Surathkal;Krishnapur;Katipalla
85,15A,Mangaldevi to Kulshekar Kaikamba,Mangaladevi;Morgan Gate;Nandigudda;Kankanady;Mallikatte;Kadri Market– Nanthur;Akashavani;Bejai;KSRTC Bus Stand;Bharat Mall;Lalbagh;Ladyhill;Kuloor;Baikampady;Surathkal;Krishnapur;Katipalla
88,15B,Mangaladevi to Chelairpadavu,Mangaladevi;Morgans Gate;Nandi Gudda;Kankanady;Mallikatte;Kadri;Market;Nanthoor;Akashavani;Bejai;KSRTC Bus Stand;Bharat Mall;Lalbagh;Ladyhill;Kuloor;Baikampady;Surathkal;Krishnapur;Katipalla;Chelairpadavu
90,15C,Mangaldevi to MRPL,Mangaldevi;Valencia;Kankanady;Nanthoor;Bejai;KSRTC;Lalbagh;Lady Hill;Kottara;Kulur;Surathkal;Krishnapura;MRPL
91,15C,Mangaldevi to Kaithakumer,Mangaldevi;Valencia;Nanthoor;Bejai;KSRTC;Lalbagh;Lady Hill;Kottara;Kulur;Surathkal;Katipalla;MRPL;Kaithakumer
